Lake,Site,Constituent Name,Final,TrendConc,Direction,Final Slope,N,Site ANOVA,Seas ANOVA,Comments,Reveiwer Comments
FortGibson,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,28,***,***,no trend,
FortSupplyLake,all,Chlorophyll (ug/L),↑↑,Somewhat Likely Upward,up,0.4539,38,NS,***,Model poor and dist ok;   use SK slope,
FortSupplyLake,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.134,38,NS,***,Different Direction (MLR Model Poor; diss ok); use SK,
FortSupplyLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,36,***,***,NS_MLR and SK,
FortSupplyLake,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,19.51,40,***,NS,,
FortSupplyLake,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.01718,39,NS,***,poor model and good distribution; use MK,
FortSupplyLake,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,39,*,***,Poor model and distribution.  Use MK and SK results,
FortSupplyLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,37,***,***,NS_MLR and SK,
Foss,all,Chlorophyll (ug/L),↓↓↓,Highly Likely Downward,down,-0.3312,36,NS,***,revuew fully; use SK,
Foss,all,Pheophytin A (ug/L),↓↓,Somewhat Likely Downward,down,-0.00651,36,NS,***,regression negative; average model and dist,
Foss,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,4.265,28,***,***,poor model; use SK,
Foss,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,16.14,35,NS,*,,
Foss,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.004877,47,***,***,Use SK slope,
Foss,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0004082,47,***,***,contribution minimal; use SK,
Foss,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.437,31,***,***,Model average and distribution poor;  use SK,
Frederick,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,NS,no trend,
Frederick,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.06047,33,*,***,modle and dis ok; use SK,
Frederick,all,Secchi (cm),↑,Likely Upward,up,0.000733,29,NS,***,model and dist ok;  use regression,
Frederick,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,4.46,35,NS,***,,
Frederick,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.002054,35,NS,***,model good and dist ok; use reg slope,
Frederick,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,35,NS,***,model good and dist ok; nominal cont,
Frederick,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-2.036,32,*,*,model poor and dist ok;  use SK,
Fuqua,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.32,30,**,***,model ok and dist poor;  use SK,
Fuqua,all,Secchi (cm),↓↓,Somewhat Likely Downward,down,1.115,26,***,***,Ready; Look at sites; Poor to Fair model; use SK,
Fuqua,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,4.38,33,NS,NS,,
Fuqua,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.01526,34,NS,***,Ready; model performed good and dist ok; review fully;  Use Reg,
Fuqua,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,34,NS,***,Ready,
Fuqua,all,Turbidity (NTU),↓,Likely Downward,down,-0.3543,31,***,***,Ready; Look at sites;  use SK,
Grand,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,44,***,***,Reg not reliable,
GreatSalt,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,19,NS,*,poor model and distribution,
GreatSalt,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,19,NS,***,poor model and distribution,
GreatSalt,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,18,NS,NS,poor model and ok dist,
GreatSalt,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,193.80,34,NS,***,,
GreatSalt,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.1554,26,NS,***,model good and dist ok; use reg slope,
GreatSalt,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,*,poor model and poor  dist;  nom. contribtuon,
GreatSalt,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,18,NS,NS,no trend,
Greenleaf,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.000739,28,NS,*,model and dist ok; reg slope,
Greenleaf,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,28,NS,***,modle ok and dist poor,
Greenleaf,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,26,*,NS,no trend,
Greenleaf,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.80,32,NS,*,,
Greenleaf,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,32,NS,*,no trend,
Greenleaf,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,32,NS,**,model good but dist poor,
Greenleaf,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,27,NS,*,no trend,
Guthrie,all,Chlorophyll (ug/L),↑,Likely Upward,up,1.283,18,NS,***,Review fully;  model ok but dist pooor;  Use MK,
Guthrie,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,1.617,18,*,***,model good and dist ok; use reg slope,
Guthrie,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,20,NS,***,poor model and ok dist;  NS,
Guthrie,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,28,***,***,Reg not reliable,
Guthrie,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,-0.001584,25,NS,***,model good and dist ok;  use reg slope,
Guthrie,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,*,***,no trend,
Guthrie,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,21,NS,***,no trend,
Hefner,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.867,29,NS,**,Model and distribution poor; use SK,
Hefner,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,29,NS,***,no trend,
Hefner,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,24,NS,***,Poor model but good distribution,
Hefner,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,5.94,38,NS,NS,,
Hefner,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,35,***,NS,no trend,
Hefner,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.002506,35,NS,***,Use SK slope,
Hefner,all,Turbidity (NTU),↓,Likely Downward,down,-0.179,25,NS,***,poor model; use sk,
Henryetta,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,28,***,***,no trend,
Henryetta,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1069,28,NS,NS,pooor model and dist; use mk,
Henryetta,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,20,NS,NS,poor model and ok dist,
Henryetta,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.49,30,NS,NS,,
Henryetta,all,Total N (mg/L),↓,Likely Downward,down,0.006364,36,NS,***,poor modeel and ok dist; use MK,
Henryetta,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,36,**,NS,poor modeel and ok dist; nom contribution,
Henryetta,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,23,NS,NS,pooor model and dist,
Heyburn,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.000264,28,NS,***,Ready; Showed good distribution; use reg,
Heyburn,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,NS,***,Ready,
Heyburn,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,3.20,35,NS,**,,
Heyburn,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01419,33,NS,***,Ready; model performed poorly;  use MK,
Heyburn,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,***,Poor Model,
Heyburn,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,Ready; Poor model,
Holdenville,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,1.738,19,**,***,Review fully;  use reg,
Holdenville,all,Secchi (cm),↓,Likely Downward,down,-2.028,20,**,***,Review fully; Poor to Fair model,
Holdenville,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.84,29,NS,NS,,
Holdenville,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01442,28,NS,NS,Ready;  Use SK,
Holdenville,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,22,NS,NS,Ready,
Holdenville,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.001267,20,**,***,use reg,
Hominy,all,Chlorophyll (ug/L),↓↓↓,Highly Likely Downward,down,-0.2055,20,NS,**,poor model and dist;  usk n-p slope,
Hominy,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,20,*,NS,no trend,
Hominy,all,Secchi (cm),↑↑,Somewhat Likely Upward,up,1.722,23,***,*,poor modle but good dist; use MK,
Hominy,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.01158,28,*,NS,good model but poor dist; use mk,
Hominy,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0008183,28,*,NS,Poor model and dist;  use SK,
Hominy,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.1657,24,***,***,ok model and dist;  low cont;  sue SK,
HudsonLake,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,##,*,***,MK Not Sig; NS WOE,
HudsonLake,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,##,**,NS,MK Not Sig; NS WOE,
HudsonLake,all,Secchi (cm),↓,Likely Downward,down,-0.186,##,NS,NS,MK Not Sig; Model is fair and dist is fair;  use Reg,
HudsonLake,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,72,***,***,Graphic shows no notable trend; since seasonally sig use SK,
HudsonLake,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,NS,NS_MLR and SK,
HudsonLake,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,*,*,NS_MLR and SK,
HudsonLake,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.001365,25,**,***,MK Not Sig; Model is fair and dist is fair;  use Reg,
Hugo,all,Chlorophyll (ug/L),↑↑,Somewhat Likely Upward,up,0.0246,31,NS,NS,average model and good dist,
Hugo,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.1121,31,*,NS,use MK slope,
Hugo,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,*,NS,no trend,
Hugo,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.16,34,NS,***,,
Hugo,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,35,NS,NS,poor model; some dist issues; regression neg,
Hugo,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,35,NS,***,poor model and distribution,
Hugo,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,25,NS,*,regression negative; minimal contribution,
Hulah,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,no trend,
Hulah,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.1426,25,*,***,poor model; use sk,
Hulah,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,20,NS,*,no trend,
Hulah,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,33,NS,***,,
Hulah,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.006487,33,NS,***,poor model and good distribution; use MK,
Hulah,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,***,***,no trend,
Hulah,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,24,***,***,no trend,
Humphreys,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,30,NS,***,Ready,
Humphreys,all,Secchi (cm),↑↑,Somewhat Likely Upward,up,7.92,22,***,**,Ready; model fair; Look at sites;  use reg,
Humphreys,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,6.70,42,NS,NS,,
Humphreys,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,37,**,***,Ready; look at sites,
Humphreys,all,Total P (mg/L),↓↓,Somewhat Likely Downward,down,-0.00139,35,NS,NS,Ready; poor distribution for model; use MK,
Humphreys,all,Turbidity (NTU),↓,Likely Downward,down,0.517,30,*,***,Ready; Fair model; use reg,
JNeustadt,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,no trend,
JNeustadt,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.04763,25,**,***,model poor but dist good; use sk ,
JNeustadt,all,Secchi (cm),↑,Likely Upward,up,1.491,21,***,NS,model poor and dist ok;  use the n-p slope,
JNeustadt,all,SpC (uS/cm),↑,Likely Upward,up,1.30,29,NS,***,use SK;  reg good but dist shows issues,
JNeustadt,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.0409,30,NS,***,model and dist ok;  use regression,
JNeustadt,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0006969,30,NS,NS,good modle but poor dist; use SK,
JNeustadt,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.3004,27,***,***,model and dist ok; use SK,
JohnWells,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,15,NS,***,no trend,
JohnWells,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.000106,15,NS,***,model good and dist ok; use reg slope,
JohnWells,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,430.6,15,NS,NS,model and dist ok; use reg slope,
JohnWells,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,2.50,23,NS,**,,
JohnWells,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,no trend,
JohnWells,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,no trend,
JohnWells,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-17.76,15,NS,***,model good and dist ok; use reg slope,
Kaw,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,35,***,***,no trend,
Kaw,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.2135,35,***,***,poor model; use sk,
Kaw,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,26,***,***,no trend,
Kaw,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,41,***,***,,
Kaw,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,38,***,***,no trend,
Kaw,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,38,***,***,regression negative; minimal contribution,
Kaw,all,Turbidity (NTU),↓,Likely Downward,down,-0.3003,29,***,***,model average with poor distribution;  use MK,
Keystone,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,42,***,***,minimal contribution; average model; poor distr,
Keystone,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.1021,41,***,***,average model and poor dist; use SK,
Keystone,all,Secchi (cm),↑,Likely Upward,up,0.8409,44,***,***,review fully; use sk,
Keystone,all,SpC (uS/cm),↑,Likely Upward,up,15.24,45,***,***,Reg poor; seasonal sig;  use SK,
Keystone,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,44,***,***,minimal contribution and average distribuiton,
Keystone,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.003869,44,***,***,regression negative; minimal contribution; use SK,
Keystone,all,Turbidity (NTU),↓,Likely Downward,down,-0.5866,43,***,***,poor distribution and poor model;  use MK,
Konawa,all,Chlorophyll (ug/L),↓↓↓,Highly Likely Downward,down,-3.017,28,**,NS,model and dist good; use reg slope,
Konawa,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.3491,28,NS,***,model ok and dist poor; use Sk,
Konawa,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,**,***,no trend,
Konawa,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,29,NS,**,,
Konawa,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01878,30,*,***,model ok and dist ok;  use SK,
Konawa,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,30,NS,***,no trend,
Konawa,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,25,**,***,no trend,
LakeHudson,all,Chlorophyll (ug/L),↓↓↓,Highly Likely Downward,down,0.2685,38,***,***,Data show normality issues; Single term date and MLR show poor fit (overfit) and high multi-collinearity;  MK Significant (slope = .2973; 121vs104; n=38),
LakeHudson,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.367,38,**,***,Model and dist fair;  use Reg,
LakeHudson,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,36,***,***,NS_MLR and SK,
LakeHudson,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000057,38,**,***,good model and good dist; use Reg,
LakeHudson,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.001793,38,**,***,Model has good fit but shows multi-collinearity throughout site analysis and analysis of date factor (VIF);  Data are well distrubuted;  Use MK because of MC issues with models,
LakeHudson,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,36,**,***,NS_MLR and SK,
LakeMurray,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,32,***,***,Model and Data poor;  Use MK,
LakeMurray,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1419,29,***,**,model good and dist ok;  use reg slope,
LakeMurray,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,31,***,***,Use the NP NS des.   Low cont.;  model poor,
LakeMurray,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,2.34,37,NS,NS,,
LakeMurray,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,***,***,NS_MLR and SK,
LakeMurray,all,Total P (mg/L),↑,Likely Upward,up,0.000291,28,*,NS,MK Not Sig; Use SK,
LakeMurray,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,31,***,NS,NS_MLR and SK,
LakeWayneWallace,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,27,NS,**,Poor model and data dist;  use MK/SK,
LakeWayneWallace,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.079070,26,NS,***,Season/Month Signif;  Use SK,
LakeWayneWallace,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,27,NS,***,MK Not Sig; Use SK,
LakeWayneWallace,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.67,27,*,NS,,
LakeWayneWallace,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,27,***,**,NS_MLR and SK;  poor dist,
LakeWayneWallace,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.001866,26,NS,***,Model and dist good;  Use Reg,
LakeWayneWallace,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.0336,27,*,***,Model and dist good;  Use Reg,
Langston,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.001481,23,NS,***,model and dist ok; reg slope,
Langston,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,23,NS,NS,model ok and dist poor; NS,
Langston,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,20,NS,***,no trend,
Langston,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.77,22,NS,***,use MK;  Reg models poor,
Langston,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,NS,model good but dist poor,
Langston,all,Total P (mg/L),↓,Likely Downward,down,-0.000111,25,NS,***,model good but dist poor; use sk,
Langston,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.2841,21,NS,***,model and dist poor; use MK,
Lawtonka,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,30,NS,***,Ready,
Lawtonka,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,25,*,***,Ready,
Lawtonka,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,42,NS,***,,
Lawtonka,all,Total N (mg/L),↑,Likely Upward,up,0.00489,42,NS,***,Ready; model performed poorly;  use MK,
Lawtonka,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,36,***,***,NS,
Lawtonka,all,Turbidity (NTU),↓,Likely Downward,down,-0.09555,30,NS,*,Ready; poor model; use SK,
Liberty,all,Chlorophyll (ug/L),↑,Likely Upward,up,1.588,18,NS,***,poor model nad ok dist; use SK slope,
Liberty,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.2571,18,NS,***,poor model nad ok dist; use SK slope,
Liberty,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,18,NS,**,no trend,
Liberty,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,7.40,23,NS,***,,
Liberty,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01362,28,NS,***,model good and dist ok; use SK,
Liberty,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.0009551,28,NS,***,model and dist ok; use SK,
Liberty,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,22,NS,***,model and dist poor,
LoneChimney,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.2494,26,NS,***,model and dist poor;  use SK,
LoneChimney,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.217,26,NS,**,model and dist ok;  use sk slope,
LoneChimney,all,Secchi (cm),↓,Likely Downward,down,-0.5987,26,*,***,model poor but dist good;  use SK,
LoneChimney,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,4.50,29,NS,*,,
LoneChimney,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01519,30,NS,NS,model ok but dist poor; use MK,
LoneChimney,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,30,NS,*,no trend,
LoneChimney,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,30,**,***,model poor and dist ok;  nominal cont,
McAlester,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,1.069,29,NS,***,Ready,
McAlester,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,26,NS,***,Ready,
McAlester,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,2.11,42,NS,***,,
McAlester,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.01006,41,NS,***,Ready; model performed good; use SK,
McAlester,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.00527,35,NS,***,Ready; good model;  use reg,
McAlester,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,Ready,
McGeeCreek,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.2135,27,NS,***,poor model and ok dist; review fully; use SK,
McGeeCreek,all,Secchi (cm),↓↓↓,Highly Likely Downward,down,-4.816,20,NS,***,yse SK,
McGeeCreek,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.98,40,NS,*,,
McGeeCreek,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.01014,33,**,***,model perfroms well but dist poor; review fully; use SK,
McGeeCreek,all,Total P (mg/L),↑,Likely Upward,up,0.0004209,31,NS,***,Ready; poor model; use SK,
McGeeCreek,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,29,***,***,Ready; Look at sites;  Good model and distribution,
McMurtry,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,27,**,***,Ready; Look at sites,
McMurtry,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,24,***,***,Ready: Look at sites,
McMurtry,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.74,38,NS,***,,
McMurtry,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,38,NS,***,Ready; very little cont from date although model performed well,
McMurtry,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.001498,36,NS,***,Review fully; use reg,
McMurtry,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,25,***,***,Ready; Look at sites,
NewSpiroLake,all,Chlorophyll (ug/L),↑,Likely Upward,up,1.453,22,NS,***,model poor but dist ok; Use SK,
NewSpiroLake,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.712000,22,NS,***,Model OK but dist poor;  Use Sk,
NewSpiroLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,20,***,***,Season/Month Signif;  Use SK,
NewSpiroLake,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,27,NS,***,,
NewSpiroLake,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000109,21,NS,***,MK Not Sig; good model and ok dist; use reg,
NewSpiroLake,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,21,NS,***,NS_MLR and SK,
