Lake,Site,Constituent Name,Final,TrendConc,Direction,Final Slope,N,Site ANOVA,Seas ANOVA,Comments,Reveiwer Comments
NewSpiroLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,20,NS,***,NS_MLR and SK,
Okemah,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,28,***,**,no trend,
Okemah,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,28,NS,***,no trend,
Okemah,all,Secchi (cm),↓↓↓,Highly Likely Downward,down,-5.89,24,***,***,model ok but dist good; use reg,
Okemah,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,30,NS,NS,,
Okemah,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01535,32,NS,***,Use SK slope,
Okemah,all,Total P (mg/L),↑,Likely Upward,up,0.0003458,32,***,**,model good and dist ok; use SK,
Okemah,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,31,***,***,no trend,
Okmulgee,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,25,**,***,Ready; Look at sites,
Okmulgee,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,22,***,**,Ready: Look at sites,
Okmulgee,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,39,NS,NS,,
Okmulgee,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.0271,38,NS,***,Review fully; use reg,
Okmulgee,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.001007,36,NS,***,Review fully; use reg,
Okmulgee,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.74,30,***,***,Use reg,
Oologah,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.1614,31,***,*,average model and distribtioon;  use MK,
Oologah,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1736,31,***,NS,use MK slope,
Oologah,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,25,***,***,no trend,
Oologah,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,38,*,***,Graphic shows no notable trend; since seasonally sig use SK,
Oologah,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.01314,36,***,***,regression negative;  good model and distr; Use reg,
Oologah,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.000005,36,***,***,good model and distribution; use reg,
Oologah,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,4.32,24,***,***,regression positive; model fair; dist fair; use reg,
Overholser,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,1.799,33,NS,***,Model average and distribution poor; use SK,
Overholser,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.4304,33,NS,***,regression negative; Model and distribution average;  Use SK,
Overholser,all,Secchi (cm),↑↑,Somewhat Likely Upward,up,0.6481,35,NS,***,Model and distribution average; use SK,
Overholser,all,SpC (uS/cm),↑,Likely Upward,up,11.81,41,NS,***,,
Overholser,all,Total N (mg/L),↑,Likely Upward,up,0.02053,38,NS,***,regression negative; minimal contribution; use mk,
Overholser,all,Total P (mg/L),↓↓,Somewhat Likely Downward,down,-0.003746,38,NS,***,model good and distribution fair;  use SK,
Overholser,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-1.594,36,*,***,Use SK slope,
PaulsValley,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.6504,34,*,NS,model poor and dist ok; use MK,
PaulsValley,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.2825,34,**,NS,model poor and dist ok; use the SK slope,
PaulsValley,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,32,**,***,model and dist ok;  use regression,
PaulsValley,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,1.66,36,NS,NS,use MK as season NS; graph shows notable trend,
PaulsValley,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01522,39,NS,***,model and dist ok;  use SK,
PaulsValley,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,39,NS,NS,no trend,
PaulsValley,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.5903,33,***,***,model poor and dist ok; use sk,
Pawnee,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,3.19,12,NS,***,model and dist ok; reg slope,
Pawnee,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.2469,12,NS,***,model ok and dist poor; use MK,
Pawnee,all,Secchi (cm),↓↓↓,Highly Likely Downward,down,-0.008099,9,NS,***,model and dist ok; use reg slope,
Pawnee,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,18,NS,NS,,
Pawnee,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.03234,16,NS,NS,model and dist ok;  use MK,
Pawnee,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,16,NS,***,model ok but dist poor;  use MK,
Pawnee,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,16,*,***,no trend,
Perry,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.3302,27,NS,NS,use MK slope,
Perry,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1866,27,NS,NS,use MK slope,
Perry,all,Secchi (cm),↑,Likely Upward,up,1.154,22,***,NS,poor model and dist; use ;MK,
Perry,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,8.47,29,NS,NS,,
Perry,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000035,31,NS,**,model and dist ok;  use regression,
Perry,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.00222,31,NS,NS,model ok but dist poor;  use MK,
Perry,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-2.068,26,*,**,model poor but dist good; use sk ,
PineCreek,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.0336,31,***,***,model and distribution fair; use reg slope,
PineCreek,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.2365,31,NS,***,Use SK slope,
PineCreek,all,Secchi (cm),↓,Likely Downward,down,-0.9851,27,***,***,poor model but good distribution; use SK,
PineCreek,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.87,41,NS,*,,
PineCreek,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,38,NS,NS,no trend,
PineCreek,all,Total P (mg/L),↑,Likely Upward,up,0.0003033,38,NS,***,poor distribution; use MK,
PineCreek,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,27,***,***,no trend,
Ponca,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.6937,34,NS,***,Ready; Poor regression model; use SK slope,
Ponca,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,Ready,
Ponca,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,2.04,37,NS,***,,
Ponca,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01105,42,NS,***,Ready; use SK,
Ponca,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,37,NS,***,Ready;  Poor model validation and distribution,
Ponca,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.1628,25,***,***,Ready poor model; look at sites;  use sk,
RCLongmire,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.122,27,NS,***,model and dist ok; reg slope,
RCLongmire,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.001481,27,NS,***,model and dist ok,
RCLongmire,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,***,NS,model poor and dist ok; NS,
RCLongmire,all,SpC (uS/cm),↓,Likely Downward,down,-1.58,25,NS,***,,
RCLongmire,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01514,32,**,***,model ok abut dist poor; use SK,
RCLongmire,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,32,NS,NS,no trend,
RCLongmire,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,24,NS,*,no trend,
Rocky,all,Chlorophyll (ug/L),↓↓,Somewhat Likely Downward,down,-0.00446,18,NS,***,model and dist ok; use reg slope,
Rocky,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,18,*,***,model and dist ok,
Rocky,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,15,***,***,no trend,
Rocky,all,SpC (uS/cm),↑,Likely Upward,up,6.62,23,NS,*,Notable upward trend;  use MK,
Rocky,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,21,NS,***,no trend,
Rocky,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.000008,21,NS,**,model and dist ok; use reg slope,
Rocky,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,19,*,***,no trend,
RSKerr,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,***,no trend,
RSKerr,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.2148,26,NS,***,model and dist ok;  use SK sloe,
RSKerr,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,18,NS,*,no trend,
RSKerr,all,SpC (uS/cm),↓,Likely Downward,down,-12.93,26,***,***,,
RSKerr,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000065,31,***,***,model and dist ok; use reg slope,
RSKerr,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,31,***,***,no trend,
RSKerr,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,19,NS,NS,no trend,
Sahoma,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.001481,22,***,***,model and dist ok; reg slope,
Sahoma,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.2663,22,NS,*,model and dist ok; use MK,
Sahoma,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,19,NS,***,no trend,
Sahoma,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,2.11,23,NS,***,,
Sahoma,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.01391,26,NS,***,model ok and dist poor;  use SK,
Sahoma,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,NS,model good but dist poor;  use MK,
Sahoma,all,Turbidity (NTU),↓,Likely Downward,down,-0.7,19,NS,***,poor model and dist;  use MK,
Sardis,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.1574,34,NS,NS,regression negative; Model poor and distribution average; review fully; use MK,
Sardis,all,Pheophytin A (ug/L),↓↓↓,Highly Likely Downward,down,-0.4091,34,NS,***,regression negative; Model and distribution good; rev fully; use reg,
Sardis,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,6.43,27,NS,***,regression positive; Model and distribution average;  use reg,
Sardis,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.51,34,NS,NS,,
Sardis,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.000278,37,NS,***,regression negative; Model good and distribution ave; rev fully;  use reg,
Sardis,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.001086,37,*,***,good model but poorish distribution; use SK,
Sardis,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.8228,27,***,***,regression negative; Model and distribution average; use SK,
ShawneeTwin#1,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.26670,25,NS,NS,use MK slope,
ShawneeTwin#1,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,22,NS,***,Ready;  Poor model,
ShawneeTwin#1,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.27,35,NS,NS,,
ShawneeTwin#1,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.005543,39,NS,***,Ready; model performed poorly; Use SK,
ShawneeTwin#1,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,32,NS,*,Ready;  Poor model validation and distribution,
ShawneeTwin#1,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.3129,24,NS,***,Use SK slope,
ShawneeTwin#2,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.3965,27,NS,***,Use SK slope,
ShawneeTwin#2,all,Secchi (cm),↑,Likely Upward,up,1.47300,21,***,***,Review fully; Poor to Fair model;  use MK,
ShawneeTwin#2,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,2.95,40,NS,NS,,
ShawneeTwin#2,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01369,41,NS,**,model perf fair and dist poor;  review fully;  use SK,
ShawneeTwin#2,all,Total P (mg/L),↓,Likely Downward,down,-0.0002782,34,NS,***,model good but poor dist;  revew  fully;  use SK,
ShawneeTwin#2,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.4927,23,***,***,Ready; look at sites; use SK,
Shell,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,4,19,**,***,Ready; Look at sites;  Good model and distribution; reg slope,
Shell,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,16,NS,***,Review fully; Poor to Fair model,
Shell,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.13,26,NS,*,,
Shell,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.008095,24,**,**,Ready; poor model; look at sites; Use KS,
Shell,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,22,NS,***,Ready,
Shell,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,16,**,***,Ready poor model; look at sites,
Skiatook,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.1727,26,NS,***,Ready;  Model was fiar but dist poor; review fully; use SK,
Skiatook,all,Secchi (cm),↑↑,Somewhat Likely Upward,up,0.00451,19,***,***,Ready; model fair; Look at sites;  use reg,
Skiatook,all,SpC (uS/cm),↑,Likely Upward,up,1.47,38,**,***,,
Skiatook,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,37,***,***,Ready; model permormed good; look at sites,
Skiatook,all,Total P (mg/L),↓,Likely Downward,down,-0.0006373,33,***,***,Ready; poor distribution for model; use SK,
Skiatook,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,24,***,***,Ready; look at sites,
Sooner,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,27,***,***,no trend,
Sooner,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.05029,27,NS,***,model good but dist poor; use MK,
Sooner,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,19,***,***,model poor but dist ok,
Sooner,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,21.81,32,NS,NS,,
Sooner,all,Total N (mg/L),↓,Likely Downward,down,-0.00918,31,*,*,model and dist good;  use reg,
Sooner,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.00092,31,NS,***,model and dist good;  Explore a little more; review fully; use reg,
Sooner,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.1528,23,***,***,model and dist ok; use sk,
Spavinaw,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,39,NS,***,,
Stroud,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.1636,23,NS,NS,model and dist ok,
Stroud,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.08263,23,NS,NS,model and idst poor;  use MK,
Stroud,all,Secchi (cm),↓↓↓,Highly Likely Downward,down,-0.01216,22,*,***,model and dist good; use reg slope,
Stroud,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.38,28,NS,NS,,
Stroud,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.0156,28,***,**,model and dist good;  use SK,
Stroud,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,28,NS,***,model good but dist poor;  US MK,
Stroud,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.5337,22,NS,***,model and dist ok;  use SK,
Talawanda#1,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,20,NS,***,no trend,
Talawanda#1,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,20,NS,NS,no trend,
Talawanda#1,all,Secchi (cm),↓,Likely Downward,down,-3.439,17,NS,*,model and dist poor;  use mk,
Talawanda#1,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,1.16,26,NS,**,,
Talawanda#1,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.001283,24,*,NS,model and dist ok;  use regression,
Talawanda#1,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,24,**,NS,no trend,
Talawanda#1,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,16,NS,***,model and dist poor,
Talawanda#2,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,22,NS,*,no trend,
Talawanda#2,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,22,NS,*,no trend,
Talawanda#2,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,NS,***,no trend,
Talawanda#2,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.78,30,NS,*,,
Talawanda#2,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,NS,no trend,
Talawanda#2,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0005971,26,NS,***,model and dist ok; use sk,
Talawanda#2,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.00241,21,NS,***,model and dist ok; use reg slope,
Tecumseh,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,15,NS,***,model and dist ok but cont is nominal,
Tecumseh,all,Pheophytin A (ug/L),↓↓↓,Highly Likely Downward,down,-0.0508,15,NS,NS,model and dist good; use reg slope,
Tecumseh,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,12,NS,***,model and dist ok;  use regression,
Tecumseh,all,SpC (uS/cm),↑,Likely Upward,up,3.53,26,NS,***,Graphic shows a notable upward trend;  MLR and SLR both sign.; use MK slope,
Tecumseh,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,24,NS,***,no trend,
Tecumseh,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.01699,24,NS,*,model and dist ok; use reg slope,
Tecumseh,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,12,NS,***,model and dist poor,
TenkillerFerry,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,55,**,***,Ready; Look at sites;  CHECK,
TenkillerFerry,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,35,***,***,Ready: Look at sites,
TenkillerFerry,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.22,40,NS,***,,
TenkillerFerry,all,Total N (mg/L),↓,Likely Downward,down,-0.000951,40,***,***,Ready; model permormed good; look at sites;  use reg,
TenkillerFerry,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.001417,36,***,NS,Ready; look at sites; use sk,
TenkillerFerry,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,1.154,36,**,***,Review fully; use reg,
Texoma,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.2557,43,***,***,Model and distribution average; review fully; use SK,
Texoma,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.05846,43,***,***,average model; poor distribution; SK slope,
Texoma,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,29,***,***,minimal contribution,
Texoma,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,45.38,16,***,NS,,
Texoma,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.001061,40,***,NS,model and distribution good,
Texoma,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,40,***,*,no trend,
Texoma,all,Turbidity (NTU),↓,Likely Downward,down,-0.3239,29,***,***,distribution poor; use SK,
Thunderbird,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.03,303,***,***,,
TomSteed,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.34650,30,NS,***,poor model and dist; nom contribution; use MK,
TomSteed,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,23,NS,***,Ready; Fair model,
TomSteed,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,18.62,38,NS,***,,
TomSteed,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.0167,36,NS,***,Ready,
TomSteed,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,-0.00435,34,NS,***,Ready; good model performance; use reg,
TomSteed,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-1.22100,27,NS,***,Ready; Fair model;  use mk,
Walters,all,SpC (uS/cm),↑,Likely Upward,up,7.58,24,NS,***,USE Sk;  reg opor and seasonally sig,
WaurikaLake,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,27,**,NS,NS_MLR and SK,
WaurikaLake,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,31,**,***,NS_MLR and SK,
WaurikaLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,31,***,***,NS_MLR and SK,
WaurikaLake,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,6.00,35,NS,***,,
WaurikaLake,all,Total N (mg/L),↑,Likely Upward,up,0.000014,31,***,***,good model and ok dist;  use reg,
WaurikaLake,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.00906,31,***,***,Good modle and ave dist;  use Reg,
WaurikaLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,31,***,NS,NS_MLR and SK,
WebbersFalls,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,23,NS,***,no trend,
WebbersFalls,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.6157,23,NS,***,model and dist ok;  use SK ,
WebbersFalls,all,Secchi (cm),↑,Likely Upward,up,0.0458,18,NS,***,model and dist ok;  use regression,
WebbersFalls,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,28,NS,***,Graphic shows no notable trend; since seasonally sig use SK,
WebbersFalls,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,***,model and dist ok;  cont nominal,
WebbersFalls,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.00621,26,NS,***,model and dist good; use reg slope,
WebbersFalls,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,20,NS,***,no trend,
WesWatkins,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.3395,30,NS,***,model but dis ok; use MK,
WesWatkins,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1814,30,*,*,model ok and dist poor;  use SK,
WesWatkins,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,28,***,***,model poor but dist good; NS,
WesWatkins,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,3.90,36,NS,NS,,
WesWatkins,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.02266,39,NS,**,model and dist good; use reg slope,
WesWatkins,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,39,NS,***,model good but dist poor,
WesWatkins,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,31,NS,**,no trend,
Wetumka,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,18,NS,***,,
Wewoka,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.3836,27,NS,***,model poor and dist ok;  use the n-p slope,
Wewoka,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1484,27,NS,**,model poor and dist ok; use SK,
Wewoka,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,1.365,21,***,***,model poor but dist good; use n-p slope,
Wewoka,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,29,NS,*,Graphic shows no notable trend; since seasonally sig use SK,
Wewoka,all,Total N (mg/L),↑,Likely Upward,up,0.006765,29,NS,*,model and dist poor;  use MK,
Wewoka,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,29,***,*,model ok and dist poor,
Wewoka,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.7597,24,**,NS,model and dist poor; use MK,
Wister,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.801,40,NS,***,Review fully; use SK,
Wister,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.4361,40,NS,***,negative regression;  model and distribution poor; use SK,
Wister,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,31,**,***,model poor;  good distribution; use n-p,
Wister,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.77,40,NS,**,,
Wister,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01153,44,NS,***,Use SK slope,
Wister,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,44,NS,***,positive regression;  model and distribution poor,
Wister,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.5982,32,NS,*,model and distribution poor; based on MK,
WRHolway,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,2.69,28,NS,**,,
